description,crop,status,disease,recommended_pesticide
Field observation shows: slight No spots or discoloration on leaves. slight Fruit clusters are well-formed. notable Leaves look lush green with a glossy surface.,Tomato,Healthy,healthy,None
Farmer complains: rapid Severe cases cause significant leaf loss. severe Small dark spots develop with concentric rings. extensive Affected plants exhibit reduced tuber size.,Potato,Unhealthy,Early_blight,Neem oil
Inspection reveals: moderate Overall plant appears dwarfed. visible Internodes shorten dramatically. severe Virus spreads via whiteflies rapidly.,Tomato,Unhealthy,Tomato_YellowLeaf_Curl_Virus,Horticultural oil
According to the grower: severe Plant vigor declines noticeably.,Tomato,Unhealthy,Spider_mites_Two_spotted_spider_mite,Sulfur spray
Visual check indicates: rapid Brown patches coalesce into larger necrotic areas. sudden Lower leaves drop prematurely under stress. severe Dark spots sometimes appear on stems.,Potato,Unhealthy,Early_blight,Neem oil
slight Overall plant vigor decreases. severe Leaflets may become fern-like and narrow.,Tomato,Unhealthy,Tomato_mosaic_virus,Biological predators
Field observation shows: rapid Small dark lesions appear on the lower leaves. sporadic Lesions coalesce into large blighted zones. rapid The affected areas appear sunken and dry.,Tomato,Unhealthy,Target_Spot,Bacillus subtilis
rapid Large irregular brown patches appear on leaves.,Tomato,Unhealthy,Late_blight,Neem oil
According to the grower: slight Leaves look scorched or burnt at the edges. notable Fruits show dark specks near the stem end.,Tomato,Unhealthy,Target_Spot,Bacillus subtilis
Agronomist notes: sudden Fruit development may be stunted. sporadic Fine yellow dust may be visible on foliage.,Tomato,Unhealthy,Spider_mites_Two_spotted_spider_mite,Sulfur spray
Field observation shows: notable Virus spreads easily through plant contact.,Tomato,Unhealthy,Tomato_mosaic_virus,Biological predators
Visual check indicates: rapid Webbing may be visible between leaves and stems.,Tomato,Unhealthy,Spider_mites_Two_spotted_spider_mite,Sulfur spray
Agronomist notes: visible Leaf edges show bright yellow coloring.,Tomato,Unhealthy,Tomato_YellowLeaf_Curl_Virus,Horticultural oil
According to the grower: notable Leaves show circular or irregular necrotic areas. clear Growth appears stunted with patchy foliage.,Tomato,Unhealthy,Target_Spot,Bacillus subtilis
Farmer reports: slight Tuber development appears uniform and healthy. slight Healthy foliage covers the soil evenly.,Potato,Healthy,healthy,None
Agronomist notes: visible Spots sometimes merge into larger dead areas. severe Lower leaves drop prematurely. notable Leaves develop yellow halos around spots.,Pepper_bell,Unhealthy,Bacterial_spot,Biological predators
Inspection reveals: notable Leaf surfaces feel dry and rough. sporadic Infestation begins on lower leaves.,Tomato,Unhealthy,Spider_mites_Two_spotted_spider_mite,Sulfur spray
severe Warm weather accelerates disease spread. clear Tiny dark specks appear on young leaves.,Tomato,Unhealthy,Bacterial_spot,Sulfur spray
clear Webbing may be visible between leaves and stems. moderate Leaf surfaces feel dry and rough.,Tomato,Unhealthy,Spider_mites_Two_spotted_spider_mite,Sulfur spray
According to the grower: sporadic Fruit development may be stunted. rapid Webbing may be visible between leaves and stems.,Tomato,Unhealthy,Spider_mites_Two_spotted_spider_mite,Sulfur spray
extensive Stems may show sunken brown streaks. sudden Overall growth appears stunted. sporadic Plant vigor decreases over time.,Tomato,Unhealthy,Early_blight,Horticultural oil
moderate Spots increase rapidly in wet conditions. sporadic Leaves become thin and sparse.,Tomato,Unhealthy,Septoria_leaf_spot,Neem oil
Visual check indicates: extensive Fine yellow dust may be visible on foliage.,Tomato,Unhealthy,Spider_mites_Two_spotted_spider_mite,Sulfur spray
Visual check indicates: clear Stems are firm and unblemished.,Potato,Healthy,healthy,None
Field observation shows: notable Veins become thick and prominent. rapid Fruit production decreases sharply. rapid Virus spreads via whiteflies rapidly.,Tomato,Unhealthy,Tomato_YellowLeaf_Curl_Virus,Horticultural oil
Agronomist notes: visible Leaf edges show bright yellow coloring.,Tomato,Unhealthy,Tomato_YellowLeaf_Curl_Virus,Horticultural oil
Farmer complains: severe Leaves yellow around brown lesions.,Potato,Unhealthy,Early_blight,Neem oil
moderate Spots develop yellow halos as they expand. rapid Leaves look scorched or burnt at the edges. rapid Spots are more prominent under humid conditions.,Tomato,Unhealthy,Target_Spot,Bacillus subtilis
Inspection reveals: rapid Tuber development appears uniform and healthy. notable No unusual odor detected in the field. rapid Growth appears vigorous and steady.,Potato,Healthy,healthy,None
"Inspection reveals: rapid Lower leaves drop prematurely. clear Tiny dark spots appear on young leaves. visible Warm, wet weather increases disease spread.",Pepper_bell,Unhealthy,Bacterial_spot,Biological predators
"According to the grower: moderate Cool, moist weather promotes rapid spread.",Tomato,Unhealthy,Late_blight,Neem oil
Farmer complains: sudden Severe infections reduce fruit yield. notable Spots increase rapidly in wet conditions.,Tomato,Unhealthy,Septoria_leaf_spot,Neem oil
Field observation shows: notable Healthy foliage covers the soil evenly. sporadic Leaf edges remain intact and smooth. severe No unusual odor detected in the field.,Potato,Healthy,healthy,None
Farmer reports: slight Older leaves are the first to show symptoms. moderate Affected plants exhibit reduced tuber size.,Potato,Unhealthy,Early_blight,Neem oil
Visual check indicates: notable Small dark lesions appear on the lower leaves. notable Growth appears stunted with patchy foliage. extensive Leaves show circular or irregular necrotic areas.,Tomato,Unhealthy,Target_Spot,Bacillus subtilis
Agronomist notes: notable Surfaces remain free of lesions or mold. moderate Fruits develop bright color and firm walls.,Pepper_bell,Healthy,healthy,None
Agronomist notes: visible Leaves curl and become brittle. sporadic Disease thrives in high humidity and poor airflow. sudden Lesions merge into large yellow areas.,Tomato,Unhealthy,Leaf_Mold,Sulfur spray
severe Fruits develop firm dark lesions with greasy texture. rapid Leaves collapse suddenly without warning.,Tomato,Unhealthy,Late_blight,Neem oil
"Inspection reveals: moderate Older leaves are the first to show symptoms. severe Lesions enlarge during warm, humid weather. slight Affected plants exhibit reduced tuber size.",Potato,Unhealthy,Early_blight,Neem oil
Farmer complains: clear Edges of leaves become brown and dry.,Tomato,Unhealthy,Leaf_Mold,Sulfur spray
Inspection reveals: clear Leaf surfaces feel dry and rough.,Tomato,Unhealthy,Spider_mites_Two_spotted_spider_mite,Sulfur spray
According to the grower: sporadic Healthy foliage covers the soil evenly.,Potato,Healthy,healthy,None
Field observation shows: notable Leaf edges become ragged and torn. sporadic Lower leaves drop early under stress. extensive Spots enlarge and develop yellow halos.,Tomato,Unhealthy,Bacterial_spot,Sulfur spray
slight Severe infections reduce fruit yield. moderate Growth appears patchy across the field. rapid Lower leaves drop early in the season.,Tomato,Unhealthy,Septoria_leaf_spot,Neem oil
Agronomist notes: sudden Overall appearance is robust and lush. rapid Stems appear firm and upright. rapid Growth appears vigorous and balanced.,Pepper_bell,Healthy,healthy,None
Visual check indicates: sudden Flowers often drop without fruit setting. clear Fruit production decreases sharply.,Tomato,Unhealthy,Tomato_YellowLeaf_Curl_Virus,Horticultural oil
Farmer complains: sporadic Fruits show dark specks near the stem end.,Tomato,Unhealthy,Target_Spot,Bacillus subtilis
Visual check indicates: sudden Young leaves curl upward and turn yellow. extensive Veins become thick and prominent. slight Leaf edges show bright yellow coloring.,Tomato,Unhealthy,Tomato_YellowLeaf_Curl_Virus,Horticultural oil
Inspection reveals: severe Growth appears stunted and twisted. sporadic Fruits show irregular color patterns. clear Overall plant vigor decreases.,Tomato,Unhealthy,Tomato_mosaic_virus,Biological predators
Farmer complains: rapid Tuber development appears uniform and healthy. slight No signs of wilting or discoloration.,Potato,Healthy,healthy,None
Agronomist notes: sudden Leaves become limp and collapse suddenly.,Potato,Unhealthy,Late_blight,Sulfur spray
"According to the grower: moderate Fruits develop firm dark lesions with greasy texture. sudden Large irregular brown patches appear on leaves. sudden Cool, moist weather promotes rapid spread.",Tomato,Unhealthy,Late_blight,Neem oil
Visual check indicates: sporadic Plants appear free from any pests or diseases.,Tomato,Healthy,healthy,None
Inspection reveals: moderate Flowers appear healthy and plentiful. visible Stems remain firm and robust.,Tomato,Healthy,healthy,None
Farmer complains: clear Leaves look scorched or burnt at the edges. sporadic Leaves show circular or irregular necrotic areas.,Tomato,Unhealthy,Target_Spot,Bacillus subtilis
"Farmer complains: extensive Leaves become limp and collapse suddenly. visible Lesions spread quickly under cool, wet weather.",Potato,Unhealthy,Late_blight,Sulfur spray
Farmer complains: rapid Fruits develop firm dark lesions with greasy texture.,Tomato,Unhealthy,Late_blight,Neem oil
Agronomist notes: rapid No signs of wilting or discoloration. rapid Growth appears vigorous and steady.,Potato,Healthy,healthy,None
"Farmer reports: visible Spots expand during warm, humid weather. clear Overall growth appears stunted.",Tomato,Unhealthy,Early_blight,Horticultural oil
According to the grower: moderate Plant stands tall and vigorous. rapid Overall growth is steady and balanced. rapid Fruit clusters are well-formed.,Tomato,Healthy,healthy,None
Inspection reveals: notable Growth becomes stunted and bushy. notable Overall plant appears dwarfed.,Tomato,Unhealthy,Tomato_YellowLeaf_Curl_Virus,Horticultural oil
According to the grower: sudden Dark concentric rings form on lower leaves.,Tomato,Unhealthy,Early_blight,Horticultural oil
Agronomist notes: severe Leaf edges become ragged and torn. sporadic Lower leaves drop early under stress. notable Brown streaks may appear on stems.,Tomato,Unhealthy,Bacterial_spot,Sulfur spray
According to the grower: extensive Severe cases cause significant leaf loss. visible Dark spots sometimes appear on stems.,Potato,Unhealthy,Early_blight,Neem oil
"Visual check indicates: visible Infected fruit shows raised, scabby lesions. clear Bacterial ooze may be visible under moist conditions. sporadic Spots sometimes merge into larger dead areas.",Pepper_bell,Unhealthy,Bacterial_spot,Biological predators
According to the grower: visible Leaf surfaces feel dry and rough.,Tomato,Unhealthy,Spider_mites_Two_spotted_spider_mite,Sulfur spray
Agronomist notes: sporadic Fruits show dark specks near the stem end. extensive Leaves look scorched or burnt at the edges.,Tomato,Unhealthy,Target_Spot,Bacillus subtilis
Farmer reports: sudden Lower leaves drop early under stress. sporadic Warm weather accelerates disease spread.,Tomato,Unhealthy,Bacterial_spot,Sulfur spray
Farmer reports: rapid Growth appears stunted with patchy foliage. slight Fruits show dark specks near the stem end.,Tomato,Unhealthy,Target_Spot,Bacillus subtilis
"Field observation shows: rapid Infected tubers show dark, firm patches beneath the skin. visible White fungal growth may appear under humid conditions. rapid Stems show brown streaks near soil level.",Potato,Unhealthy,Late_blight,Sulfur spray
Visual check indicates: notable Leaves look scorched or burnt at the edges. clear Growth appears stunted with patchy foliage.,Tomato,Unhealthy,Target_Spot,Bacillus subtilis
Farmer reports: moderate Lower leaves are affected first.,Tomato,Unhealthy,Leaf_Mold,Sulfur spray
Field observation shows: rapid Stems are firm and unblemished. sudden Healthy foliage covers the soil evenly.,Potato,Healthy,healthy,None
According to the grower: notable Tuber development appears uniform and healthy. visible Leaves are lush green with no visible spots. rapid Healthy foliage covers the soil evenly.,Potato,Healthy,healthy,None
Farmer reports: visible Brown streaks may appear on stems.,Tomato,Unhealthy,Bacterial_spot,Sulfur spray
Inspection reveals: clear Leaves collapse suddenly without warning. moderate Whole plants may wilt overnight.,Tomato,Unhealthy,Late_blight,Neem oil
Farmer reports: extensive Growth becomes stunted and bushy.,Tomato,Unhealthy,Tomato_YellowLeaf_Curl_Virus,Horticultural oil
Farmer reports: notable Leaves display mottled light and dark green patches.,Tomato,Unhealthy,Tomato_mosaic_virus,Biological predators
"Visual check indicates: severe Edges of lesions appear water-soaked and greasy. sudden New leaves become infected almost overnight. notable Lesions spread quickly under cool, wet weather.",Potato,Unhealthy,Late_blight,Sulfur spray
Farmer reports: extensive No unusual wilting or curling of leaves.,Pepper_bell,Healthy,healthy,None
Farmer complains: moderate Fruits develop evenly with no blemishes. sudden Fruit clusters are well-formed. clear Plant stands tall and vigorous.,Tomato,Healthy,healthy,None
Farmer complains: visible Virus spreads via whiteflies rapidly.,Tomato,Unhealthy,Tomato_YellowLeaf_Curl_Virus,Horticultural oil
Field observation shows: slight Overall plant vigor decreases. clear Leaves may appear leathery.,Tomato,Unhealthy,Tomato_mosaic_virus,Biological predators
Visual check indicates: slight White mold may appear on leaf undersides. moderate Edges of lesions look water-soaked.,Tomato,Unhealthy,Late_blight,Neem oil
According to the grower: rapid Growth appears vigorous and balanced. severe No visible blemishes on leaves or stems.,Pepper_bell,Healthy,healthy,None
Farmer reports: moderate Flowers appear healthy and plentiful.,Tomato,Healthy,healthy,None
rapid Tiny dark specks appear on young leaves.,Tomato,Unhealthy,Bacterial_spot,Sulfur spray
Inspection reveals: sporadic Fruits show dark specks near the stem end. severe Leaves show circular or irregular necrotic areas.,Tomato,Unhealthy,Target_Spot,Bacillus subtilis
extensive Lower leaves drop prematurely.,Pepper_bell,Unhealthy,Bacterial_spot,Biological predators
Farmer reports: clear Fruits show dark specks near the stem end. clear Lesions coalesce into large blighted zones. moderate Severe infections lead to premature leaf drop.,Tomato,Unhealthy,Target_Spot,Bacillus subtilis
Visual check indicates: visible Spots enlarge and develop yellow halos. moderate Warm weather accelerates disease spread. moderate Tiny dark specks appear on young leaves.,Tomato,Unhealthy,Bacterial_spot,Sulfur spray
According to the grower: sporadic Leaves drop prematurely under stress. severe Yellowing appears around brown lesions. slight Older leaves show symptoms first.,Tomato,Unhealthy,Early_blight,Horticultural oil
Inspection reveals: visible Fruit production decreases sharply. clear Flowers often drop without fruit setting.,Tomato,Unhealthy,Tomato_YellowLeaf_Curl_Virus,Horticultural oil
According to the grower: clear Growth appears stunted with patchy foliage. slight Spots develop yellow halos as they expand. clear Severe infections lead to premature leaf drop.,Tomato,Unhealthy,Target_Spot,Bacillus subtilis
Field observation shows: moderate Leaves look scorched or burnt at the edges. extensive The affected areas appear sunken and dry. rapid Small dark lesions appear on the lower leaves.,Tomato,Unhealthy,Target_Spot,Bacillus subtilis
Agronomist notes: sudden Plants maintain strong upright growth. rapid Leaf edges remain intact and smooth. extensive Leaves are lush green with no visible spots.,Potato,Healthy,healthy,None
severe Severe cases cause significant leaf loss.,Potato,Unhealthy,Early_blight,Neem oil
Agronomist notes: visible Leaves show circular or irregular necrotic areas. severe Severe infections lead to premature leaf drop.,Tomato,Unhealthy,Target_Spot,Bacillus subtilis
According to the grower: extensive Internodes shorten dramatically. severe Growth becomes stunted and bushy. extensive Overall plant appears dwarfed.,Tomato,Unhealthy,Tomato_YellowLeaf_Curl_Virus,Horticultural oil
Farmer complains: rapid No spots or discoloration on leaves. notable Fruit clusters are well-formed. visible Stems remain firm and robust.,Tomato,Healthy,healthy,None
notable Leaf edges appear scorched and curled. sporadic Yellowing appears around brown lesions.,Tomato,Unhealthy,Early_blight,Horticultural oil
Field observation shows: clear Spots increase rapidly in wet conditions. rapid Lower leaves drop early in the season. slight Plants look generally stressed.,Tomato,Unhealthy,Septoria_leaf_spot,Neem oil
Visual check indicates: visible Stems are firm and unblemished. notable No unusual odor detected in the field. sporadic Growth appears vigorous and steady.,Potato,Healthy,healthy,None
Field observation shows: slight White fungal growth may appear under humid conditions.,Potato,Unhealthy,Late_blight,Sulfur spray
Inspection reveals: sporadic Fruits develop evenly with no blemishes. sporadic Overall growth is steady and balanced. moderate Stems remain firm and robust.,Tomato,Healthy,healthy,None
According to the grower: clear Leaves yellow around brown lesions. notable Severe cases cause significant leaf loss.,Potato,Unhealthy,Early_blight,Neem oil
Visual check indicates: moderate Lesions merge into large yellow areas. moderate Plant growth slows noticeably.,Tomato,Unhealthy,Leaf_Mold,Sulfur spray
Agronomist notes: clear Virus spreads via whiteflies rapidly.,Tomato,Unhealthy,Tomato_YellowLeaf_Curl_Virus,Horticultural oil
Farmer complains: notable No unusual odor detected in the field. severe Leaves are lush green with no visible spots. severe Plants maintain strong upright growth.,Potato,Healthy,healthy,None
"Farmer complains: sudden Dark concentric rings form on lower leaves. rapid Spots expand during warm, humid weather. notable Stems may show sunken brown streaks.",Tomato,Unhealthy,Early_blight,Horticultural oil
Inspection reveals: extensive Leaves appear crumpled and thickened. extensive Growth becomes stunted and bushy.,Tomato,Unhealthy,Tomato_YellowLeaf_Curl_Virus,Horticultural oil
Farmer complains: rapid Fruit clusters are well-formed. severe Leaves look lush green with a glossy surface. severe No spots or discoloration on leaves.,Tomato,Healthy,healthy,None
Inspection reveals: visible Fruits develop evenly with no blemishes. extensive Stems remain firm and robust. notable Flowers appear healthy and plentiful.,Tomato,Healthy,healthy,None
According to the grower: notable Spots sometimes merge into larger dead areas.,Pepper_bell,Unhealthy,Bacterial_spot,Biological predators
Inspection reveals: rapid Lesions become angular and water-soaked. visible Leaf edges turn brown and crack.,Pepper_bell,Unhealthy,Bacterial_spot,Biological predators
Farmer complains: sudden Surfaces remain free of lesions or mold. visible Overall appearance is robust and lush. notable Growth appears vigorous and balanced.,Pepper_bell,Healthy,healthy,None
"Farmer complains: extensive Infected tubers show dark, firm patches beneath the skin.",Potato,Unhealthy,Late_blight,Sulfur spray
Visual check indicates: extensive Flower formation may be reduced. sudden Overall plant vigor decreases. clear Leaves display mottled light and dark green patches.,Tomato,Unhealthy,Tomato_mosaic_virus,Biological predators
Farmer complains: rapid Plant vigor declines noticeably. sporadic Webbing may be visible between leaves and stems.,Tomato,Unhealthy,Spider_mites_Two_spotted_spider_mite,Sulfur spray
Visual check indicates: visible Lower leaves are affected first.,Tomato,Unhealthy,Leaf_Mold,Sulfur spray
Farmer complains: slight No visible blemishes on leaves or stems. extensive No unusual wilting or curling of leaves.,Pepper_bell,Healthy,healthy,None
Inspection reveals: sporadic Leaf edges show bright yellow coloring.,Tomato,Unhealthy,Tomato_YellowLeaf_Curl_Virus,Horticultural oil
According to the grower: sudden Tiny dark specks appear with pale centers.,Tomato,Unhealthy,Septoria_leaf_spot,Neem oil
"Inspection reveals: rapid Warm, wet weather increases disease spread.",Pepper_bell,Unhealthy,Bacterial_spot,Biological predators
"According to the grower: sporadic Plant vigor decreases over time. moderate Fruits develop sunken, leathery patches.",Tomato,Unhealthy,Early_blight,Horticultural oil
Visual check indicates: sudden Leaves look lush green with a glossy surface.,Tomato,Healthy,healthy,None
According to the grower: extensive No spots or discoloration on leaves. moderate Stems remain firm and robust.,Tomato,Healthy,healthy,None
According to the grower: visible Virus spreads via whiteflies rapidly. slight Growth becomes stunted and bushy.,Tomato,Unhealthy,Tomato_YellowLeaf_Curl_Virus,Horticultural oil
Field observation shows: moderate Spots are more prominent under humid conditions. notable Severe infections lead to premature leaf drop. extensive Leaves show circular or irregular necrotic areas.,Tomato,Unhealthy,Target_Spot,Bacillus subtilis
Agronomist notes: sudden Stems appear firm and upright. slight Leaves look vibrant green with a smooth texture.,Pepper_bell,Healthy,healthy,None
According to the grower: moderate Fruits develop uneven ripening. sporadic Leaves may appear leathery. slight Flower formation may be reduced.,Tomato,Unhealthy,Tomato_mosaic_virus,Biological predators
Agronomist notes: rapid Leaves drop prematurely under stress.,Tomato,Unhealthy,Early_blight,Horticultural oil
Visual check indicates: moderate Virus spreads easily through plant contact. visible Fruits develop uneven ripening.,Tomato,Unhealthy,Tomato_mosaic_virus,Biological predators
Farmer complains: notable Leaf surfaces feel dry and rough. severe Infestation begins on lower leaves.,Tomato,Unhealthy,Spider_mites_Two_spotted_spider_mite,Sulfur spray
Inspection reveals: sudden Plant vigor declines noticeably.,Tomato,Unhealthy,Spider_mites_Two_spotted_spider_mite,Sulfur spray
According to the grower: moderate Lower leaves are affected first.,Tomato,Unhealthy,Leaf_Mold,Sulfur spray
Farmer reports: rapid New growth appears stunted and distorted. notable Spots sometimes merge into larger dead areas. sporadic Lower leaves drop prematurely.,Pepper_bell,Unhealthy,Bacterial_spot,Biological predators
Visual check indicates: rapid Lower leaves drop early in the season. sporadic Spots increase rapidly in wet conditions.,Tomato,Unhealthy,Septoria_leaf_spot,Neem oil
Farmer complains: rapid Stems appear firm and upright. rapid No visible blemishes on leaves or stems.,Pepper_bell,Healthy,healthy,None
Farmer reports: sporadic Leaves show circular or irregular necrotic areas. severe Growth appears stunted with patchy foliage.,Tomato,Unhealthy,Target_Spot,Bacillus subtilis
Field observation shows: extensive Plants show no signs of stress or pests. clear Healthy foliage covers the soil evenly.,Potato,Healthy,healthy,None
Visual check indicates: moderate Lesions merge into large yellow areas. sudden Lower leaves are affected first. rapid Leaves curl and become brittle.,Tomato,Unhealthy,Leaf_Mold,Sulfur spray
sudden Spots may merge into larger dead zones. visible Spots enlarge and develop yellow halos.,Tomato,Unhealthy,Bacterial_spot,Sulfur spray
According to the grower: rapid Leaves drop prematurely under stress. sporadic Yellowing appears around brown lesions.,Tomato,Unhealthy,Early_blight,Horticultural oil
Farmer reports: severe Growth becomes stunted and bushy. sudden Leaves appear crumpled and thickened. slight Flowers often drop without fruit setting.,Tomato,Unhealthy,Tomato_YellowLeaf_Curl_Virus,Horticultural oil
Farmer complains: severe Edges of lesions look water-soaked. sporadic Stems turn brown and brittle. clear Fruits develop firm dark lesions with greasy texture.,Tomato,Unhealthy,Late_blight,Neem oil
Field observation shows: moderate Leaves look vibrant green with a smooth texture. rapid Fruits develop bright color and firm walls. notable Plant canopy is full and evenly spaced.,Pepper_bell,Healthy,healthy,None
Inspection reveals: moderate Leaflets may become fern-like and narrow. rapid Virus spreads easily through plant contact. notable Symptoms worsen under high light conditions.,Tomato,Unhealthy,Tomato_mosaic_virus,Biological predators
"Farmer complains: sudden Lesions enlarge during warm, humid weather. severe Leaves yellow around brown lesions. notable Small dark spots develop with concentric rings.",Potato,Unhealthy,Early_blight,Neem oil
According to the grower: severe Growth becomes stunted and bushy. extensive Veins become thick and prominent.,Tomato,Unhealthy,Tomato_YellowLeaf_Curl_Virus,Horticultural oil
Inspection reveals: visible White fungal growth may appear under humid conditions. moderate Blight odor is noticeable in severe infections. extensive Whole fields can appear scorched and dead.,Potato,Unhealthy,Late_blight,Sulfur spray
Agronomist notes: rapid Warm weather accelerates disease spread. sudden Tiny dark specks appear on young leaves. rapid Spots enlarge and develop yellow halos.,Tomato,Unhealthy,Bacterial_spot,Sulfur spray
Farmer complains: rapid Spots sometimes merge into larger dead areas.,Pepper_bell,Unhealthy,Bacterial_spot,Biological predators
Inspection reveals: moderate Growth appears patchy across the field. slight Tiny dark specks appear with pale centers.,Tomato,Unhealthy,Septoria_leaf_spot,Neem oil
Farmer complains: rapid Fine yellow dust may be visible on foliage. slight Plant vigor declines noticeably.,Tomato,Unhealthy,Spider_mites_Two_spotted_spider_mite,Sulfur spray
Agronomist notes: notable Edges of lesions look water-soaked.,Tomato,Unhealthy,Late_blight,Neem oil
According to the grower: severe Leaves drop prematurely under stress. moderate Dark concentric rings form on lower leaves.,Tomato,Unhealthy,Early_blight,Horticultural oil
Field observation shows: moderate Large irregular brown patches appear on leaves.,Tomato,Unhealthy,Late_blight,Neem oil
Visual check indicates: extensive Infestation begins on lower leaves. extensive Fruit development may be stunted.,Tomato,Unhealthy,Spider_mites_Two_spotted_spider_mite,Sulfur spray
Agronomist notes: sudden Leaves display mottled light and dark green patches. severe Leaflets may become fern-like and narrow.,Tomato,Unhealthy,Tomato_mosaic_virus,Biological predators
"Visual check indicates: moderate Leaf edges turn brown and crack. slight Infected fruit shows raised, scabby lesions. sporadic Spots sometimes merge into larger dead areas.",Pepper_bell,Unhealthy,Bacterial_spot,Biological predators
Agronomist notes: sporadic Stems remain firm and robust. clear Fruits develop evenly with no blemishes. extensive No sign of curling or wilting.,Tomato,Healthy,healthy,None
Inspection reveals: moderate Stems turn brown and brittle. sudden White mold may appear on leaf undersides.,Tomato,Unhealthy,Late_blight,Neem oil
Farmer complains: slight Plants appear free from any pests or diseases. sporadic No sign of curling or wilting.,Tomato,Healthy,healthy,None
Agronomist notes: sporadic Plant growth slows noticeably. moderate Disease thrives in high humidity and poor airflow.,Tomato,Unhealthy,Leaf_Mold,Sulfur spray
"According to the grower: clear Lesions enlarge during warm, humid weather.",Potato,Unhealthy,Early_blight,Neem oil
"Agronomist notes: clear Stems turn brown and brittle. sporadic Cool, moist weather promotes rapid spread.",Tomato,Unhealthy,Late_blight,Neem oil
Agronomist notes: extensive Leaf edges become ragged and torn.,Tomato,Unhealthy,Bacterial_spot,Sulfur spray
According to the grower: notable Fruits develop firm dark lesions with greasy texture.,Tomato,Unhealthy,Late_blight,Neem oil
Inspection reveals: sudden Leaflets may become fern-like and narrow.,Tomato,Unhealthy,Tomato_mosaic_virus,Biological predators
"Field observation shows: slight Mites thrive in hot, dry conditions. sporadic Fruit development may be stunted. sporadic Fine yellow dust may be visible on foliage.",Tomato,Unhealthy,Spider_mites_Two_spotted_spider_mite,Sulfur spray
Agronomist notes: sudden Infected fruit appears pitted and rough.,Tomato,Unhealthy,Bacterial_spot,Sulfur spray
Farmer complains: visible Lesions merge into large yellow areas.,Tomato,Unhealthy,Leaf_Mold,Sulfur spray
Agronomist notes: extensive Small dark spots develop with concentric rings. moderate Severe cases cause significant leaf loss.,Potato,Unhealthy,Early_blight,Neem oil
"According to the grower: extensive Infected tubers show dark, firm patches beneath the skin.",Potato,Unhealthy,Late_blight,Sulfur spray
Field observation shows: sudden Affected plants exhibit reduced tuber size. severe Older leaves are the first to show symptoms. severe Foliage appears scorched and curled.,Potato,Unhealthy,Early_blight,Neem oil
Farmer reports: moderate Overall growth appears stunted. moderate Leaves drop prematurely under stress.,Tomato,Unhealthy,Early_blight,Horticultural oil
Visual check indicates: rapid Tiny dark specks appear with pale centers. visible Lower leaves drop early in the season.,Tomato,Unhealthy,Septoria_leaf_spot,Neem oil
"Farmer complains: severe Mites thrive in hot, dry conditions. extensive Webbing may be visible between leaves and stems.",Tomato,Unhealthy,Spider_mites_Two_spotted_spider_mite,Sulfur spray
Farmer reports: clear Leaves may appear leathery. clear Flower formation may be reduced.,Tomato,Unhealthy,Tomato_mosaic_virus,Biological predators
Visual check indicates: sporadic Plants look generally stressed. visible Spots remain less than ⅛ inch in diameter. clear Severe infections reduce fruit yield.,Tomato,Unhealthy,Septoria_leaf_spot,Neem oil
"Field observation shows: clear Fruits develop sunken, leathery patches.",Tomato,Unhealthy,Early_blight,Horticultural oil
Farmer reports: extensive No unusual wilting or curling of leaves. visible Fruits develop bright color and firm walls. sporadic Leaves look vibrant green with a smooth texture.,Pepper_bell,Healthy,healthy,None
Farmer complains: severe Fruit production decreases sharply.,Tomato,Unhealthy,Tomato_YellowLeaf_Curl_Virus,Horticultural oil
"According to the grower: rapid Cool, moist weather promotes rapid spread.",Tomato,Unhealthy,Late_blight,Neem oil
Visual check indicates: sudden Yellowing appears around brown lesions. clear Plant vigor decreases over time.,Tomato,Unhealthy,Early_blight,Horticultural oil
Visual check indicates: notable Spots develop yellow halos as they expand. extensive The affected areas appear sunken and dry.,Tomato,Unhealthy,Target_Spot,Bacillus subtilis
Visual check indicates: sudden Growth becomes stunted and bushy. severe Fruit production decreases sharply. moderate Virus spreads via whiteflies rapidly.,Tomato,Unhealthy,Tomato_YellowLeaf_Curl_Virus,Horticultural oil
Field observation shows: sporadic Severe cases cause significant leaf loss.,Potato,Unhealthy,Early_blight,Neem oil
Farmer complains: sudden Leaves look lush green with a glossy surface. sporadic Fruit clusters are well-formed.,Tomato,Healthy,healthy,None
Farmer reports: moderate Leaves collapse suddenly without warning. visible Whole plants may wilt overnight. rapid Stems turn brown and brittle.,Tomato,Unhealthy,Late_blight,Neem oil
Agronomist notes: slight Infected fruit appears pitted and rough. severe Plant growth becomes stunted and uneven. extensive Lower leaves drop early under stress.,Tomato,Unhealthy,Bacterial_spot,Sulfur spray
Visual check indicates: rapid Fruits show irregular color patterns. moderate Fruits develop uneven ripening. moderate Leaves display mottled light and dark green patches.,Tomato,Unhealthy,Tomato_mosaic_virus,Biological predators
Agronomist notes: sporadic Small dark spots develop with concentric rings. severe Severe cases cause significant leaf loss.,Potato,Unhealthy,Early_blight,Neem oil
Farmer reports: clear Blight odor is noticeable in severe infections.,Potato,Unhealthy,Late_blight,Sulfur spray
extensive Stems appear firm and upright. severe No unusual wilting or curling of leaves. rapid Plant canopy is full and evenly spaced.,Pepper_bell,Healthy,healthy,None
severe Plant growth slows noticeably. extensive Leaves curl and become brittle.,Tomato,Unhealthy,Leaf_Mold,Sulfur spray
