description,crop,status,disease,recommended_pesticide,image_path
Visual check indicates: clear No unusual odor detected in the field. moderate Plants show no signs of stress or pests. sporadic Healthy foliage covers the soil evenly.,Potato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Field observation shows: moderate New leaves become infected almost overnight.,Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\fe20bf11-9be6-480c-8c99-b7b391ac9653___GHLB_PS Leaf 44.2 Day 18.jpg
Agronomist notes: visible Overall growth is steady and balanced. extensive Leaves look lush green with a glossy surface.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Farmer complains: extensive Stems remain firm and robust. severe Fruits develop evenly with no blemishes. severe Leaves look lush green with a glossy surface.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Farmer reports: slight Growth appears vigorous and balanced.,Pepper_bell,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Visual check indicates: severe Fruits develop evenly with no blemishes. sporadic Overall growth is steady and balanced. slight Stems remain firm and robust.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Farmer reports: clear Leaves are lush green with no visible spots. rapid No signs of wilting or discoloration. slight Leaf edges remain intact and smooth.,Potato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Visual check indicates: sudden Stems turn brown and brittle. clear Edges of lesions look water-soaked. extensive Leaves collapse suddenly without warning.,Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\b2a9abfe-731d-4143-a534-158a4aea4dd1___GHLB_PS Leaf 1.5 Day 13.jpg
Visual check indicates: sudden Fruits develop firm dark lesions with greasy texture.,Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\f66ada20-cd47-4393-b7c6-87f1f39fd741___GHLB_PS Leaf 41.1 Day 18.jpg
Field observation shows: slight No spots or discoloration on leaves. rapid Stems remain firm and robust.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Field observation shows: sporadic Fruits develop firm dark lesions with greasy texture. notable Leaves collapse suddenly without warning.,Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\1bfebfc9-3eda-4889-bdb1-75a8929a1b4f___GHLB_PS Leaf 48 Day 18.jpg
Farmer reports: rapid Leaves look lush green with a glossy surface. slight No sign of curling or wilting.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
"Farmer complains: extensive Fruits develop firm dark lesions with greasy texture. severe Cool, moist weather promotes rapid spread. clear Infected areas emit a musty odor.",Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\8fb5837a-daa2-49c9-8e6e-eeca83e1e764___GHLB_PS Leaf 26.1 Day 13.jpg
Field observation shows: sporadic Plants appear free from any pests or diseases.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Agronomist notes: slight Leaves collapse suddenly without warning.,Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\ecfdf723-18dd-46d5-9d22-a54289e9d765___GHLB_PS Leaf 31 Day 12.jpg
According to the grower: sporadic Leaves collapse suddenly without warning. moderate Infected areas emit a musty odor.,Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\0b988f87-fdce-40ba-aa09-7e6c9e1d6d30___GHLB_PS Leaf 21 Day 8.jpg
"Visual check indicates: severe New leaves become infected almost overnight. visible Whole fields can appear scorched and dead. slight Infected tubers show dark, firm patches beneath the skin.",Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\1bfebfc9-3eda-4889-bdb1-75a8929a1b4f___GHLB_PS Leaf 48 Day 18.jpg
Visual check indicates: extensive No spots or discoloration on leaves.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Farmer reports: moderate Whole plants may wilt overnight. visible Infected areas emit a musty odor.,Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\7e10e4ed-19e9-4e89-a936-4b2bb30d4e90___GHLB_PS Leaf 1 Day 13.jpg
Field observation shows: slight No spots or discoloration on leaves. slight Fruit clusters are well-formed. notable Leaves look lush green with a glossy surface.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
rapid Large irregular brown patches appear on leaves.,Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\28130e0a-20fa-47bb-a995-74933946ff2f___GHLB_PS Leaf 24.4 Day 13.jpg
Farmer reports: slight Tuber development appears uniform and healthy. slight Healthy foliage covers the soil evenly.,Potato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Visual check indicates: clear Stems are firm and unblemished.,Potato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Inspection reveals: rapid Tuber development appears uniform and healthy. notable No unusual odor detected in the field. rapid Growth appears vigorous and steady.,Potato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
"According to the grower: moderate Cool, moist weather promotes rapid spread.",Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\3db1a347-001b-4170-8f64-4fa097f83bc7___GHLB_PS Leaf 1.2 Day 8.jpg
Field observation shows: notable Healthy foliage covers the soil evenly. sporadic Leaf edges remain intact and smooth. severe No unusual odor detected in the field.,Potato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Agronomist notes: notable Surfaces remain free of lesions or mold. moderate Fruits develop bright color and firm walls.,Pepper_bell,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
severe Fruits develop firm dark lesions with greasy texture. rapid Leaves collapse suddenly without warning.,Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\12125c80-42e3-4970-bb92-524262c337fa___GHLB_PS Leaf 8.1 Day 7.jpg
According to the grower: sporadic Healthy foliage covers the soil evenly.,Potato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Agronomist notes: sudden Overall appearance is robust and lush. rapid Stems appear firm and upright. rapid Growth appears vigorous and balanced.,Pepper_bell,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Farmer complains: rapid Tuber development appears uniform and healthy. slight No signs of wilting or discoloration.,Potato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Agronomist notes: sudden Leaves become limp and collapse suddenly.,Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\12125c80-42e3-4970-bb92-524262c337fa___GHLB_PS Leaf 8.1 Day 7.jpg
"According to the grower: moderate Fruits develop firm dark lesions with greasy texture. sudden Large irregular brown patches appear on leaves. sudden Cool, moist weather promotes rapid spread.",Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\fb5dc387-cb1d-49bb-b81e-58d60705a2fd___GHLB_PS Leaf 1.3 Day 16.jpg
Visual check indicates: sporadic Plants appear free from any pests or diseases.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Inspection reveals: moderate Flowers appear healthy and plentiful. visible Stems remain firm and robust.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
"Farmer complains: extensive Leaves become limp and collapse suddenly. visible Lesions spread quickly under cool, wet weather.",Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\45fefdc6-a9a7-4955-8066-146efe1c8a1c___GHLB_PS Leaf 27 Day 9.jpg
Farmer complains: rapid Fruits develop firm dark lesions with greasy texture.,Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\1f2dc4ae-5264-443a-a103-67fafb37bc70___GHLB_PS Leaf 26.1 Day 16.jpg
Agronomist notes: rapid No signs of wilting or discoloration. rapid Growth appears vigorous and steady.,Potato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
According to the grower: moderate Plant stands tall and vigorous. rapid Overall growth is steady and balanced. rapid Fruit clusters are well-formed.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
"Field observation shows: rapid Infected tubers show dark, firm patches beneath the skin. visible White fungal growth may appear under humid conditions. rapid Stems show brown streaks near soil level.",Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\4bf424a2-b275-4ac0-968c-fe229136f10d___GHLB_PS Leaf 2.5 Day 16.jpg
Field observation shows: rapid Stems are firm and unblemished. sudden Healthy foliage covers the soil evenly.,Potato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
According to the grower: notable Tuber development appears uniform and healthy. visible Leaves are lush green with no visible spots. rapid Healthy foliage covers the soil evenly.,Potato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Inspection reveals: clear Leaves collapse suddenly without warning. moderate Whole plants may wilt overnight.,Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\ea42a7f6-5683-41d6-b3fc-acf07d1865e4___GHLB_PS Leaf 8 Day 9.jpg
"Visual check indicates: severe Edges of lesions appear water-soaked and greasy. sudden New leaves become infected almost overnight. notable Lesions spread quickly under cool, wet weather.",Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\6b7f4762-88d6-4e85-8fad-57ca4083ec89___GHLB_PS Leaf 8.1 Day 9.jpg
Farmer reports: extensive No unusual wilting or curling of leaves.,Pepper_bell,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Farmer complains: moderate Fruits develop evenly with no blemishes. sudden Fruit clusters are well-formed. clear Plant stands tall and vigorous.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Visual check indicates: slight White mold may appear on leaf undersides. moderate Edges of lesions look water-soaked.,Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\dcf0db57-e7d2-487f-b9df-2ec299e0ee48___GHLB_PS Leaf 17.1 Day 8.jpg
According to the grower: rapid Growth appears vigorous and balanced. severe No visible blemishes on leaves or stems.,Pepper_bell,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Farmer reports: moderate Flowers appear healthy and plentiful.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Agronomist notes: sudden Plants maintain strong upright growth. rapid Leaf edges remain intact and smooth. extensive Leaves are lush green with no visible spots.,Potato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Farmer complains: rapid No spots or discoloration on leaves. notable Fruit clusters are well-formed. visible Stems remain firm and robust.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Visual check indicates: visible Stems are firm and unblemished. notable No unusual odor detected in the field. sporadic Growth appears vigorous and steady.,Potato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Field observation shows: slight White fungal growth may appear under humid conditions.,Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\452dfdfb-298d-4c0c-b500-0c480eea587d___GHLB_PS Leaf 40 Day 18.jpg
Inspection reveals: sporadic Fruits develop evenly with no blemishes. sporadic Overall growth is steady and balanced. moderate Stems remain firm and robust.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Farmer complains: notable No unusual odor detected in the field. severe Leaves are lush green with no visible spots. severe Plants maintain strong upright growth.,Potato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Farmer complains: rapid Fruit clusters are well-formed. severe Leaves look lush green with a glossy surface. severe No spots or discoloration on leaves.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Inspection reveals: visible Fruits develop evenly with no blemishes. extensive Stems remain firm and robust. notable Flowers appear healthy and plentiful.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Farmer complains: sudden Surfaces remain free of lesions or mold. visible Overall appearance is robust and lush. notable Growth appears vigorous and balanced.,Pepper_bell,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
"Farmer complains: extensive Infected tubers show dark, firm patches beneath the skin.",Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\8b2bb3d4-b5db-4772-8151-2689b7d52846___GHLB_PS Leaf 19.1 Day 8.jpg
Farmer complains: slight No visible blemishes on leaves or stems. extensive No unusual wilting or curling of leaves.,Pepper_bell,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Visual check indicates: sudden Leaves look lush green with a glossy surface.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
According to the grower: extensive No spots or discoloration on leaves. moderate Stems remain firm and robust.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Agronomist notes: sudden Stems appear firm and upright. slight Leaves look vibrant green with a smooth texture.,Pepper_bell,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Farmer complains: rapid Stems appear firm and upright. rapid No visible blemishes on leaves or stems.,Pepper_bell,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Field observation shows: extensive Plants show no signs of stress or pests. clear Healthy foliage covers the soil evenly.,Potato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Farmer complains: severe Edges of lesions look water-soaked. sporadic Stems turn brown and brittle. clear Fruits develop firm dark lesions with greasy texture.,Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\d0badc95-d04c-457b-8db8-aa6e198f4bd6___GHLB Leaf 10 Day 6.jpeg
Field observation shows: moderate Leaves look vibrant green with a smooth texture. rapid Fruits develop bright color and firm walls. notable Plant canopy is full and evenly spaced.,Pepper_bell,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Inspection reveals: visible White fungal growth may appear under humid conditions. moderate Blight odor is noticeable in severe infections. extensive Whole fields can appear scorched and dead.,Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\e8c3e15e-99ae-4c47-9d27-4d94c2b96e8a___GHLB_PS Leaf 26.3 Day 13.jpg
Agronomist notes: notable Edges of lesions look water-soaked.,Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\bd4f09bd-ee85-4ab1-bce0-8cde3fdd7f1b___GHLB_PS Leaf 23.7 Day 13.jpg
Field observation shows: moderate Large irregular brown patches appear on leaves.,Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\d5f68aaa-5700-4957-b08c-dcab8be0d49e___GHLB_PS Leaf 1 Day 9.jpg
Agronomist notes: sporadic Stems remain firm and robust. clear Fruits develop evenly with no blemishes. extensive No sign of curling or wilting.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Inspection reveals: moderate Stems turn brown and brittle. sudden White mold may appear on leaf undersides.,Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\e8c3e15e-99ae-4c47-9d27-4d94c2b96e8a___GHLB_PS Leaf 26.3 Day 13.jpg
Farmer complains: slight Plants appear free from any pests or diseases. sporadic No sign of curling or wilting.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
"Agronomist notes: clear Stems turn brown and brittle. sporadic Cool, moist weather promotes rapid spread.",Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\e5b50c59-e517-4dcc-8887-8bd2ca748329___GHLB2ES Leaf 142.jpg
According to the grower: notable Fruits develop firm dark lesions with greasy texture.,Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\784f6313-1080-4bd1-a556-d4e14e6879d0___GHLB_PS Leaf 53.1 Day 18 .jpg
"According to the grower: extensive Infected tubers show dark, firm patches beneath the skin.",Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\60196a6c-a134-4107-8178-d1bb47450cee___GHLB Leaf 23.1 Day 9.jpg
Farmer reports: extensive No unusual wilting or curling of leaves. visible Fruits develop bright color and firm walls. sporadic Leaves look vibrant green with a smooth texture.,Pepper_bell,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
"According to the grower: rapid Cool, moist weather promotes rapid spread.",Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\eb816984-283e-4a3b-846d-9bf24b1cce8d___GHLB_PS Leaf 37.2 Day 13.jpg
Farmer complains: sudden Leaves look lush green with a glossy surface. sporadic Fruit clusters are well-formed.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Farmer reports: moderate Leaves collapse suddenly without warning. visible Whole plants may wilt overnight. rapid Stems turn brown and brittle.,Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\5916c8e5-c9d2-4bc5-b5e7-8812caf890aa___GHLB_PS Leaf 29 Day 12.jpg
Farmer reports: clear Blight odor is noticeable in severe infections.,Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\f21ce358-48ea-4676-9395-22145c4c9707___GHLB_PS Leaf 25.1 Day 9.jpg
extensive Stems appear firm and upright. severe No unusual wilting or curling of leaves. rapid Plant canopy is full and evenly spaced.,Pepper_bell,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Inspection reveals: slight Edges of lesions appear water-soaked and greasy.,Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\86992828-48ea-428c-bb7d-0c89365314b9___GHLB_PS Leaf 18.2 Day 8.jpg
visible Large brown blotches develop rapidly on leaves. sporadic White fungal growth may appear under humid conditions. sudden Stems show brown streaks near soil level.,Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\6b7f4762-88d6-4e85-8fad-57ca4083ec89___GHLB_PS Leaf 8.1 Day 9.jpg
Farmer complains: clear Edges of lesions appear water-soaked and greasy. visible Blight odor is noticeable in severe infections.,Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\037c55c7-6e33-4b8d-af05-4d555f4e658e___GHLB_PS Leaf 42.1 Day 18.jpg
Inspection reveals: moderate Plants show no signs of stress or pests.,Potato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Field observation shows: extensive Leaves look vibrant green with a smooth texture. sporadic Overall appearance is robust and lush. notable Plant canopy is full and evenly spaced.,Pepper_bell,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Farmer reports: notable No signs of wilting or discoloration. extensive Plants show no signs of stress or pests.,Potato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Field observation shows: rapid No visible blemishes on leaves or stems. rapid No unusual wilting or curling of leaves. visible Fruits develop bright color and firm walls.,Pepper_bell,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Field observation shows: sporadic Tuber development appears uniform and healthy. slight Plants show no signs of stress or pests.,Potato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
According to the grower: moderate Fruits develop firm dark lesions with greasy texture. severe Infected areas emit a musty odor.,Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\98ae3801-450e-493f-aca0-014520cfaf6e___GHLB_PS Leaf 29.1 Day 12.jpg
Visual check indicates: clear No visible blemishes on leaves or stems. clear No unusual wilting or curling of leaves.,Pepper_bell,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Agronomist notes: clear Leaves look lush green with a glossy surface. slight Stems remain firm and robust.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
severe Fruits develop evenly with no blemishes.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
severe Leaves look lush green with a glossy surface.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Agronomist notes: sporadic Edges of lesions look water-soaked. notable Whole plants may wilt overnight. extensive Infected areas emit a musty odor.,Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\aa32ce1a-27a6-4371-b119-ff5ea6e34a3d___GHLB_PS Leaf 24 Day 9.jpg
Visual check indicates: severe Stems are firm and unblemished. sporadic Leaves are lush green with no visible spots. slight Leaf edges remain intact and smooth.,Potato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Agronomist notes: severe No visible blemishes on leaves or stems.,Pepper_bell,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
"Farmer reports: rapid Lesions spread quickly under cool, wet weather. severe Edges of lesions appear water-soaked and greasy.",Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\bd4f09bd-ee85-4ab1-bce0-8cde3fdd7f1b___GHLB_PS Leaf 23.7 Day 13.jpg
According to the grower: sporadic No signs of wilting or discoloration.,Potato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
"Farmer reports: sudden Lesions spread quickly under cool, wet weather.",Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\8b2bb3d4-b5db-4772-8151-2689b7d52846___GHLB_PS Leaf 19.1 Day 8.jpg
Inspection reveals: sudden Plant stands tall and vigorous. severe No spots or discoloration on leaves.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Farmer reports: sudden Tuber development appears uniform and healthy. moderate Plants maintain strong upright growth. sporadic Leaf edges remain intact and smooth.,Potato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
severe Leaves collapse suddenly without warning. moderate Whole plants may wilt overnight.,Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\10bdda57-bfe5-4403-a4c6-a1211d4f348e___GHLB_PS Leaf 20 Day 8.jpg
extensive Blight odor is noticeable in severe infections.,Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\4bf424a2-b275-4ac0-968c-fe229136f10d___GHLB_PS Leaf 2.5 Day 16.jpg
Agronomist notes: sporadic Growth appears vigorous and balanced. moderate Fruit set appears normal and healthy. clear Surfaces remain free of lesions or mold.,Pepper_bell,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Field observation shows: extensive Overall growth is steady and balanced. sporadic Leaves look lush green with a glossy surface.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
sudden Leaves look lush green with a glossy surface. slight No spots or discoloration on leaves. slight Stems remain firm and robust.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Field observation shows: slight Plant canopy is full and evenly spaced. notable Surfaces remain free of lesions or mold. visible Growth appears vigorous and balanced.,Pepper_bell,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
