disease,clean_description,recommended_pesticide
Tomato_YellowLeaf_Curl_Virus,agronomist note clear virus spread via whitefly rapidly,Horticultural oil
healthy,farmer complains notable unusual odor detected field severe leaf lush green visible spot severe plant maintain strong upright growth,No pesticide needed
Early_blight,farmer complains sudden dark concentric ring form lower leaf rapid spot expand warm humid weather notable stem may show sunken brown streak,Horticultural oil
Tomato_YellowLeaf_Curl_Virus,inspection reveals extensive leaf appear crumpled thickened extensive growth becomes stunted bushy,Horticultural oil
healthy,farmer complains rapid fruit cluster wellformed severe leaf look lush green glossy surface severe spot discoloration leaf,No pesticide needed
healthy,inspection reveals visible fruit develop evenly blemish extensive stem remain firm robust notable flower appear healthy plentiful,No pesticide needed
Bacterial_spot,according grower notable spot sometimes merge larger dead area,Biological predators
Bacterial_spot,inspection reveals rapid lesion become angular watersoaked visible leaf edge turn brown crack,Biological predators
healthy,farmer complains sudden surface remain free lesion mold visible overall appearance robust lush notable growth appears vigorous balanced,No pesticide needed
Late_blight,farmer complains extensive infected tuber show dark firm patch beneath skin,Sulfur spray
Tomato_mosaic_virus,visual check indicates extensive flower formation may reduced sudden overall plant vigor decrease clear leaf display mottled light dark green patch,Biological predators
Spider_mites_Two_spotted_spider_mite,farmer complains rapid plant vigor decline noticeably sporadic webbing may visible leaf stem,Sulfur spray
Leaf_Mold,visual check indicates visible lower leaf affected first,Sulfur spray
healthy,farmer complains slight visible blemish leaf stem extensive unusual wilting curling leaf,No pesticide needed
Tomato_YellowLeaf_Curl_Virus,inspection reveals sporadic leaf edge show bright yellow coloring,Horticultural oil
Septoria_leaf_spot,according grower sudden tiny dark speck appear pale center,Neem oil
Bacterial_spot,inspection reveals rapid warm wet weather increase disease spread,Biological predators
Early_blight,according grower sporadic plant vigor decrease time moderate fruit develop sunken leathery patch,Horticultural oil
healthy,visual check indicates sudden leaf look lush green glossy surface,No pesticide needed
healthy,according grower extensive spot discoloration leaf moderate stem remain firm robust,No pesticide needed
Tomato_YellowLeaf_Curl_Virus,according grower visible virus spread via whitefly rapidly slight growth becomes stunted bushy,Horticultural oil
Target_Spot,field observation show moderate spot prominent humid condition notable severe infection lead premature leaf drop extensive leaf show circular irregular necrotic area,Bacillus subtilis
healthy,agronomist note sudden stem appear firm upright slight leaf look vibrant green smooth texture,No pesticide needed
Tomato_mosaic_virus,according grower moderate fruit develop uneven ripening sporadic leaf may appear leathery slight flower formation may reduced,Biological predators
Early_blight,agronomist note rapid leaf drop prematurely stress,Horticultural oil
Tomato_mosaic_virus,visual check indicates moderate virus spread easily plant contact visible fruit develop uneven ripening,Biological predators
Spider_mites_Two_spotted_spider_mite,farmer complains notable leaf surface feel dry rough severe infestation begin lower leaf,Sulfur spray
Spider_mites_Two_spotted_spider_mite,inspection reveals sudden plant vigor decline noticeably,Sulfur spray
Leaf_Mold,according grower moderate lower leaf affected first,Sulfur spray
Bacterial_spot,farmer report rapid new growth appears stunted distorted notable spot sometimes merge larger dead area sporadic lower leaf drop prematurely,Biological predators
Septoria_leaf_spot,visual check indicates rapid lower leaf drop early season sporadic spot increase rapidly wet condition,Neem oil
healthy,farmer complains rapid stem appear firm upright rapid visible blemish leaf stem,No pesticide needed
Target_Spot,farmer report sporadic leaf show circular irregular necrotic area severe growth appears stunted patchy foliage,Bacillus subtilis
healthy,field observation show extensive plant show sign stress pest clear healthy foliage cover soil evenly,No pesticide needed
Leaf_Mold,visual check indicates moderate lesion merge large yellow area sudden lower leaf affected first rapid leaf curl become brittle,Sulfur spray
Bacterial_spot,sudden spot may merge larger dead zone visible spot enlarge develop yellow halo,Sulfur spray
Early_blight,according grower rapid leaf drop prematurely stress sporadic yellowing appears around brown lesion,Horticultural oil
Tomato_YellowLeaf_Curl_Virus,farmer report severe growth becomes stunted bushy sudden leaf appear crumpled thickened slight flower often drop without fruit setting,Horticultural oil
Late_blight,farmer complains severe edge lesion look watersoaked sporadic stem turn brown brittle clear fruit develop firm dark lesion greasy texture,Neem oil
healthy,field observation show moderate leaf look vibrant green smooth texture rapid fruit develop bright color firm wall notable plant canopy full evenly spaced,No pesticide needed
Tomato_mosaic_virus,inspection reveals moderate leaflet may become fernlike narrow rapid virus spread easily plant contact notable symptom worsen high light condition,Biological predators
Early_blight,farmer complains sudden lesion enlarge warm humid weather severe leaf yellow around brown lesion notable small dark spot develop concentric ring,Neem oil
Tomato_YellowLeaf_Curl_Virus,according grower severe growth becomes stunted bushy extensive vein become thick prominent,Horticultural oil
Late_blight,inspection reveals visible white fungal growth may appear humid condition moderate blight odor noticeable severe infection extensive whole field appear scorched dead,Sulfur spray
Bacterial_spot,agronomist note rapid warm weather accelerates disease spread sudden tiny dark speck appear young leaf rapid spot enlarge develop yellow halo,Sulfur spray
Bacterial_spot,farmer complains rapid spot sometimes merge larger dead area,Biological predators
Septoria_leaf_spot,inspection reveals moderate growth appears patchy across field slight tiny dark speck appear pale center,Neem oil
Spider_mites_Two_spotted_spider_mite,farmer complains rapid fine yellow dust may visible foliage slight plant vigor decline noticeably,Sulfur spray
Late_blight,agronomist note notable edge lesion look watersoaked,Neem oil
Early_blight,according grower severe leaf drop prematurely stress moderate dark concentric ring form lower leaf,Horticultural oil
Late_blight,field observation show moderate large irregular brown patch appear leaf,Neem oil
Spider_mites_Two_spotted_spider_mite,visual check indicates extensive infestation begin lower leaf extensive fruit development may stunted,Sulfur spray
Tomato_mosaic_virus,agronomist note sudden leaf display mottled light dark green patch severe leaflet may become fernlike narrow,Biological predators
Bacterial_spot,visual check indicates moderate leaf edge turn brown crack slight infected fruit show raised scabby lesion sporadic spot sometimes merge larger dead area,Biological predators
healthy,agronomist note sporadic stem remain firm robust clear fruit develop evenly blemish extensive sign curling wilting,No pesticide needed
Late_blight,inspection reveals moderate stem turn brown brittle sudden white mold may appear leaf underside,Neem oil
healthy,farmer complains slight plant appear free pest disease sporadic sign curling wilting,No pesticide needed
Leaf_Mold,agronomist note sporadic plant growth slows noticeably moderate disease thrives high humidity poor airflow,Sulfur spray
Early_blight,according grower clear lesion enlarge warm humid weather,Neem oil
Late_blight,agronomist note clear stem turn brown brittle sporadic cool moist weather promotes rapid spread,Neem oil
Bacterial_spot,agronomist note extensive leaf edge become ragged torn,Sulfur spray
Late_blight,according grower notable fruit develop firm dark lesion greasy texture,Neem oil
Tomato_mosaic_virus,inspection reveals sudden leaflet may become fernlike narrow,Biological predators
Spider_mites_Two_spotted_spider_mite,field observation show slight mite thrive hot dry condition sporadic fruit development may stunted sporadic fine yellow dust may visible foliage,Sulfur spray
Bacterial_spot,agronomist note sudden infected fruit appears pitted rough,Sulfur spray
Leaf_Mold,farmer complains visible lesion merge large yellow area,Sulfur spray
Early_blight,agronomist note extensive small dark spot develop concentric ring moderate severe case cause significant leaf loss,Neem oil
Late_blight,according grower extensive infected tuber show dark firm patch beneath skin,Sulfur spray
Early_blight,field observation show sudden affected plant exhibit reduced tuber size severe older leaf first show symptom severe foliage appears scorched curled,Neem oil
Early_blight,farmer report moderate overall growth appears stunted moderate leaf drop prematurely stress,Horticultural oil
Septoria_leaf_spot,visual check indicates rapid tiny dark speck appear pale center visible lower leaf drop early season,Neem oil
Spider_mites_Two_spotted_spider_mite,farmer complains severe mite thrive hot dry condition extensive webbing may visible leaf stem,Sulfur spray
Tomato_mosaic_virus,farmer report clear leaf may appear leathery clear flower formation may reduced,Biological predators
Septoria_leaf_spot,visual check indicates sporadic plant look generally stressed visible spot remain le ⅛ inch diameter clear severe infection reduce fruit yield,Neem oil
Early_blight,field observation show clear fruit develop sunken leathery patch,Horticultural oil
healthy,farmer report extensive unusual wilting curling leaf visible fruit develop bright color firm wall sporadic leaf look vibrant green smooth texture,No pesticide needed
Tomato_YellowLeaf_Curl_Virus,farmer complains severe fruit production decrease sharply,Horticultural oil
Late_blight,according grower rapid cool moist weather promotes rapid spread,Neem oil
Early_blight,visual check indicates sudden yellowing appears around brown lesion clear plant vigor decrease time,Horticultural oil
Target_Spot,visual check indicates notable spot develop yellow halo expand extensive affected area appear sunken dry,Bacillus subtilis
Tomato_YellowLeaf_Curl_Virus,visual check indicates sudden growth becomes stunted bushy severe fruit production decrease sharply moderate virus spread via whitefly rapidly,Horticultural oil
Early_blight,field observation show sporadic severe case cause significant leaf loss,Neem oil
healthy,farmer complains sudden leaf look lush green glossy surface sporadic fruit cluster wellformed,No pesticide needed
Late_blight,farmer report moderate leaf collapse suddenly without warning visible whole plant may wilt overnight rapid stem turn brown brittle,Neem oil
Bacterial_spot,agronomist note slight infected fruit appears pitted rough severe plant growth becomes stunted uneven extensive lower leaf drop early stress,Sulfur spray
Tomato_mosaic_virus,visual check indicates rapid fruit show irregular color pattern moderate fruit develop uneven ripening moderate leaf display mottled light dark green patch,Biological predators
Early_blight,agronomist note sporadic small dark spot develop concentric ring severe severe case cause significant leaf loss,Neem oil
Late_blight,farmer report clear blight odor noticeable severe infection,Sulfur spray
healthy,extensive stem appear firm upright severe unusual wilting curling leaf rapid plant canopy full evenly spaced,No pesticide needed
Leaf_Mold,severe plant growth slows noticeably extensive leaf curl become brittle,Sulfur spray
Bacterial_spot,farmer report notable infected fruit appears pitted rough,Sulfur spray
Early_blight,according grower extensive foliage appears scorched curled visible brown patch coalesce larger necrotic area,Neem oil
Late_blight,inspection reveals slight edge lesion appear watersoaked greasy,Sulfur spray
Tomato_YellowLeaf_Curl_Virus,according grower rapid growth becomes stunted bushy,Horticultural oil
Tomato_YellowLeaf_Curl_Virus,visual check indicates extensive flower often drop without fruit setting severe fruit production decrease sharply visible overall plant appears dwarfed,Horticultural oil
Late_blight,visible large brown blotch develop rapidly leaf sporadic white fungal growth may appear humid condition sudden stem show brown streak near soil level,Sulfur spray
Late_blight,farmer complains clear edge lesion appear watersoaked greasy visible blight odor noticeable severe infection,Sulfur spray
Bacterial_spot,farmer report visible tiny dark spot appear young leaf severe infected fruit show raised scabby lesion,Biological predators
Bacterial_spot,sudden plant growth becomes stunted uneven,Sulfur spray
Septoria_leaf_spot,agronomist note rapid stem remain largely unaffected moderate growth appears patchy across field rapid lower leaf drop early season,Neem oil
healthy,inspection reveals moderate plant show sign stress pest,No pesticide needed
healthy,field observation show extensive leaf look vibrant green smooth texture sporadic overall appearance robust lush notable plant canopy full evenly spaced,No pesticide needed
Tomato_mosaic_virus,field observation show moderate leaf display mottled light dark green patch clear growth appears stunted twisted,Biological predators
Tomato_YellowLeaf_Curl_Virus,visual check indicates extensive young leaf curl upward turn yellow clear virus spread via whitefly rapidly,Horticultural oil
healthy,farmer report notable sign wilting discoloration extensive plant show sign stress pest,No pesticide needed
Tomato_YellowLeaf_Curl_Virus,agronomist note severe fruit production decrease sharply sudden overall plant appears dwarfed slight young leaf curl upward turn yellow,Horticultural oil
Early_blight,field observation show moderate foliage appears scorched curled severe older leaf first show symptom moderate lower leaf drop prematurely stress,Neem oil
Septoria_leaf_spot,farmer report rapid plant look generally stressed sudden leaf become thin sparse sudden stem remain largely unaffected,Neem oil
healthy,field observation show rapid visible blemish leaf stem rapid unusual wilting curling leaf visible fruit develop bright color firm wall,No pesticide needed
healthy,field observation show sporadic tuber development appears uniform healthy slight plant show sign stress pest,No pesticide needed
Late_blight,according grower moderate fruit develop firm dark lesion greasy texture severe infected area emit musty odor,Neem oil
healthy,visual check indicates clear visible blemish leaf stem clear unusual wilting curling leaf,No pesticide needed
Target_Spot,agronomist note sporadic lesion coalesce large blighted zone,Bacillus subtilis
Spider_mites_Two_spotted_spider_mite,visual check indicates rapid infestation begin lower leaf sporadic leaf appear stippled pale spot,Sulfur spray
Septoria_leaf_spot,moderate lower leaf drop early season visible severe infection reduce fruit yield slight growth appears patchy across field,Neem oil
Bacterial_spot,sudden leaf edge become ragged torn slight lower leaf drop early stress,Sulfur spray
Target_Spot,according grower severe small dark lesion appear lower leaf moderate fruit show dark speck near stem end,Bacillus subtilis
healthy,agronomist note clear leaf look lush green glossy surface slight stem remain firm robust,No pesticide needed
healthy,severe fruit develop evenly blemish,No pesticide needed
healthy,severe leaf look lush green glossy surface,No pesticide needed
Target_Spot,farmer complains sudden small dark lesion appear lower leaf slight spot prominent humid condition slight lesion coalesce large blighted zone,Bacillus subtilis
Late_blight,agronomist note sporadic edge lesion look watersoaked notable whole plant may wilt overnight extensive infected area emit musty odor,Neem oil
Leaf_Mold,agronomist note sudden lower leaf affected first moderate yellow patch appear upper leaf surface visible lesion merge large yellow area,Sulfur spray
Tomato_mosaic_virus,farmer complains sporadic virus spread easily plant contact sudden overall plant vigor decrease slight leaf may appear leathery,Biological predators
Target_Spot,according grower slight leaf look scorched burnt edge,Bacillus subtilis
healthy,visual check indicates severe stem firm unblemished sporadic leaf lush green visible spot slight leaf edge remain intact smooth,No pesticide needed
Bacterial_spot,according grower sudden plant growth becomes stunted uneven slight infected fruit appears pitted rough moderate spot enlarge develop yellow halo,Sulfur spray
Bacterial_spot,according grower notable plant growth becomes stunted uneven,Sulfur spray
Leaf_Mold,agronomist note notable fruit development may reduced severe lower leaf affected first rapid edge leaf become brown dry,Sulfur spray
Bacterial_spot,visible plant growth becomes stunted uneven moderate spot enlarge develop yellow halo sudden infected fruit appears pitted rough,Sulfur spray
Early_blight,according grower notable leaf drop prematurely stress sudden older leaf show symptom first,Horticultural oil
Spider_mites_Two_spotted_spider_mite,according grower extensive infestation begin lower leaf visible fruit development may stunted sporadic leaf turn bronze curl,Sulfur spray
Spider_mites_Two_spotted_spider_mite,agronomist note extensive leaf surface feel dry rough extensive leaf turn bronze curl,Sulfur spray
Leaf_Mold,according grower notable plant growth slows noticeably notable disease thrives high humidity poor airflow visible edge leaf become brown dry,Sulfur spray
Early_blight,farmer report sudden stem may show sunken brown streak extensive leaf edge appear scorched curled clear dark concentric ring form lower leaf,Horticultural oil
Tomato_YellowLeaf_Curl_Virus,according grower notable internode shorten dramatically,Horticultural oil
Late_blight,farmer report rapid lesion spread quickly cool wet weather severe edge lesion appear watersoaked greasy,Sulfur spray
Leaf_Mold,farmer report rapid lesion merge large yellow area,Sulfur spray
Bacterial_spot,inspection reveals extensive lower leaf drop prematurely sporadic warm wet weather increase disease spread rapid leaf develop yellow halo around spot,Biological predators
Target_Spot,agronomist note extensive spot develop yellow halo expand,Bacillus subtilis
Bacterial_spot,farmer report visible plant growth becomes stunted uneven notable warm weather accelerates disease spread slight spot enlarge develop yellow halo,Sulfur spray
Bacterial_spot,agronomist note slight leaf develop yellow halo around spot clear lower leaf drop prematurely visible new growth appears stunted distorted,Biological predators
Tomato_mosaic_virus,inspection reveals sporadic leaf display mottled light dark green patch,Biological predators
Early_blight,field observation show severe lower leaf drop prematurely stress visible small dark spot develop concentric ring moderate brown patch coalesce larger necrotic area,Neem oil
healthy,according grower sporadic sign wilting discoloration,No pesticide needed
Late_blight,farmer report sudden lesion spread quickly cool wet weather,Sulfur spray
Target_Spot,farmer complains rapid leaf show circular irregular necrotic area,Bacillus subtilis
Early_blight,inspection reveals severe spot expand warm humid weather,Horticultural oil
Septoria_leaf_spot,visible stem remain largely unaffected clear tiny dark speck appear pale center,Neem oil
healthy,inspection reveals sudden plant stand tall vigorous severe spot discoloration leaf,No pesticide needed
Bacterial_spot,inspection reveals moderate tiny dark speck appear young leaf,Sulfur spray
Bacterial_spot,field observation show clear plant growth becomes stunted uneven moderate lower leaf drop early stress,Sulfur spray
Early_blight,farmer report notable brown patch coalesce larger necrotic area,Neem oil
healthy,farmer report sudden tuber development appears uniform healthy moderate plant maintain strong upright growth sporadic leaf edge remain intact smooth,No pesticide needed
Tomato_mosaic_virus,clear leaf display mottled light dark green patch,Biological predators
Tomato_mosaic_virus,farmer report severe leaf may appear leathery sudden symptom worsen high light condition slight leaflet may become fernlike narrow,Biological predators
Late_blight,severe leaf collapse suddenly without warning moderate whole plant may wilt overnight,Neem oil
Bacterial_spot,field observation show severe lesion become raised scabby fruit moderate brown streak may appear stem,Sulfur spray
Late_blight,extensive blight odor noticeable severe infection,Sulfur spray
Spider_mites_Two_spotted_spider_mite,farmer complains extensive infested leaf drop prematurely,Sulfur spray
Early_blight,inspection reveals sporadic brown patch coalesce larger necrotic area severe lesion enlarge warm humid weather notable foliage appears scorched curled,Neem oil
Target_Spot,inspection reveals notable severe infection lead premature leaf drop visible lesion coalesce large blighted zone,Bacillus subtilis
healthy,agronomist note sporadic growth appears vigorous balanced moderate fruit set appears normal healthy clear surface remain free lesion mold,No pesticide needed
Tomato_YellowLeaf_Curl_Virus,farmer complains notable growth becomes stunted bushy sudden fruit production decrease sharply severe leaf appear crumpled thickened,Horticultural oil
healthy,field observation show extensive overall growth steady balanced sporadic leaf look lush green glossy surface,No pesticide needed
Leaf_Mold,farmer complains notable disease thrives high humidity poor airflow,Sulfur spray
healthy,sudden leaf look lush green glossy surface slight spot discoloration leaf slight stem remain firm robust,No pesticide needed
Bacterial_spot,inspection reveals rapid spot enlarge develop yellow halo severe lesion become raised scabby fruit sudden plant growth becomes stunted uneven,Sulfur spray
Tomato_mosaic_virus,farmer complains clear growth appears stunted twisted sporadic fruit show irregular color pattern extensive flower formation may reduced,Biological predators
Early_blight,farmer complains visible leaf drop prematurely stress sudden plant vigor decrease time moderate older leaf show symptom first,Horticultural oil
healthy,field observation show slight plant canopy full evenly spaced notable surface remain free lesion mold visible growth appears vigorous balanced,No pesticide needed
Bacterial_spot,visual check indicates visible bacterial ooze may visible moist condition rapid new growth appears stunted distorted,Biological predators
Leaf_Mold,farmer report extensive leaf curl become brittle,Sulfur spray
Tomato_mosaic_virus,sudden leaf display mottled light dark green patch clear fruit develop uneven ripening extensive overall plant vigor decrease,Biological predators
Bacterial_spot,visual check indicates rapid infected fruit appears pitted rough slight leaf edge become ragged torn rapid brown streak may appear stem,Sulfur spray
Target_Spot,according grower slight leaf look scorched burnt edge visible lesion coalesce large blighted zone extensive fruit show dark speck near stem end,Bacillus subtilis
Leaf_Mold,field observation show extensive leaf develop musty odor slight disease thrives high humidity poor airflow,Sulfur spray
healthy,farmer complains moderate plant show sign stress pest extensive tuber development appears uniform healthy notable sign wilting discoloration,No pesticide needed
Bacterial_spot,farmer complains visible lesion become angular watersoaked,Biological predators
Leaf_Mold,slight fruit development may reduced clear yellow patch appear upper leaf surface,Sulfur spray
healthy,farmer report slight tuber development appears uniform healthy,No pesticide needed
healthy,inspection reveals visible stem appear firm upright rapid unusual wilting curling leaf,No pesticide needed
Early_blight,notable yellowing appears around brown lesion notable older leaf show symptom first,Horticultural oil
Spider_mites_Two_spotted_spider_mite,inspection reveals sudden infestation begin lower leaf slight mite thrive hot dry condition,Sulfur spray
Late_blight,visual check indicates visible fruit develop firm dark lesion greasy texture extensive fruit rot occurs quickly infection,Neem oil
Tomato_mosaic_virus,clear symptom worsen high light condition clear fruit develop uneven ripening,Biological predators
healthy,farmer complains clear growth appears vigorous steady sudden plant maintain strong upright growth sudden stem firm unblemished,No pesticide needed
Early_blight,farmer report sudden stem may show sunken brown streak slight leaf edge appear scorched curled,Horticultural oil
Bacterial_spot,visual check indicates sudden plant growth becomes stunted uneven moderate leaf edge become ragged torn,Sulfur spray
Leaf_Mold,inspection reveals rapid fruit development may reduced,Sulfur spray
Leaf_Mold,visual check indicates moderate fruit development may reduced,Sulfur spray
Spider_mites_Two_spotted_spider_mite,farmer complains visible webbing may visible leaf stem moderate mite thrive hot dry condition,Sulfur spray
Late_blight,agronomist note rapid fruit develop firm dark lesion greasy texture sudden white mold may appear leaf underside clear leaf collapse suddenly without warning,Neem oil
healthy,agronomist note severe stem appear firm upright slight leaf look vibrant green smooth texture moderate fruit set appears normal healthy,No pesticide needed
healthy,according grower severe overall growth steady balanced,No pesticide needed
Early_blight,farmer complains notable severe case cause significant leaf loss,Neem oil
Late_blight,agronomist note clear new leaf become infected almost overnight visible blight odor noticeable severe infection sudden infected tuber show dark firm patch beneath skin,Sulfur spray
Leaf_Mold,agronomist note notable lower leaf affected first,Sulfur spray
Leaf_Mold,according grower sudden disease thrives high humidity poor airflow slight leaf develop musty odor sporadic leaf curl become brittle,Sulfur spray
Septoria_leaf_spot,visual check indicates sporadic plant look generally stressed rapid leaf become thin sparse,Neem oil
Early_blight,sudden older leaf first show symptom,Neem oil
Early_blight,sudden dark spot sometimes appear stem notable lower leaf drop prematurely stress extensive lesion enlarge warm humid weather,Neem oil
Early_blight,visual check indicates rapid leaf edge appear scorched curled,Horticultural oil
Spider_mites_Two_spotted_spider_mite,farmer report visible infested leaf drop prematurely severe infestation begin lower leaf,Sulfur spray
Spider_mites_Two_spotted_spider_mite,extensive mite thrive hot dry condition clear infestation begin lower leaf notable leaf turn bronze curl,Sulfur spray
Spider_mites_Two_spotted_spider_mite,field observation show visible webbing may visible leaf stem rapid fine yellow dust may visible foliage,Sulfur spray
Tomato_mosaic_virus,inspection reveals extensive symptom worsen high light condition,Biological predators
Early_blight,inspection reveals extensive overall growth appears stunted moderate leaf drop prematurely stress moderate fruit develop sunken leathery patch,Horticultural oil
Leaf_Mold,field observation show extensive lower leaf affected first slight disease thrives high humidity poor airflow visible plant growth slows noticeably,Sulfur spray
Tomato_YellowLeaf_Curl_Virus,visual check indicates slight virus spread via whitefly rapidly slight leaf appear crumpled thickened,Horticultural oil
Late_blight,according grower sporadic stem show brown streak near soil level,Sulfur spray
Target_Spot,inspection reveals extensive spot prominent humid condition,Bacillus subtilis
Spider_mites_Two_spotted_spider_mite,according grower moderate fruit development may stunted severe webbing may visible leaf stem rapid infested leaf drop prematurely,Sulfur spray
Bacterial_spot,agronomist note notable leaf develop yellow halo around spot,Biological predators
Early_blight,visual check indicates sudden older leaf show symptom first clear plant vigor decrease time visible spot expand warm humid weather,Horticultural oil
healthy,inspection reveals extensive plant appear free pest disease sudden leaf look lush green glossy surface sudden overall growth steady balanced,No pesticide needed
healthy,field observation show extensive leaf look vibrant green smooth texture sporadic plant canopy full evenly spaced severe fruit set appears normal healthy,No pesticide needed
Spider_mites_Two_spotted_spider_mite,moderate plant vigor decline noticeably notable infestation begin lower leaf,Sulfur spray
Tomato_YellowLeaf_Curl_Virus,farmer complains extensive internode shorten dramatically clear fruit production decrease sharply,Horticultural oil
Tomato_mosaic_virus,farmer report rapid fruit develop uneven ripening,Biological predators
Leaf_Mold,field observation show sudden yellow patch appear upper leaf surface notable leaf develop musty odor,Sulfur spray
Late_blight,farmer complains clear infected area emit musty odor slight fruit rot occurs quickly infection,Neem oil
Late_blight,farmer report severe stem show brown streak near soil level sporadic infected tuber show dark firm patch beneath skin,Sulfur spray
healthy,visual check indicates visible fruit develop evenly blemish,No pesticide needed
healthy,sudden leaf lush green visible spot,No pesticide needed
healthy,according grower moderate plant maintain strong upright growth visible plant show sign stress pest rapid unusual odor detected field,No pesticide needed
Tomato_YellowLeaf_Curl_Virus,agronomist note sudden virus spread via whitefly rapidly notable flower often drop without fruit setting moderate leaf appear crumpled thickened,Horticultural oil
Leaf_Mold,farmer complains extensive fruit development may reduced,Sulfur spray
Tomato_mosaic_virus,field observation show sporadic overall plant vigor decrease,Biological predators
Late_blight,inspection reveals visible white mold may appear leaf underside slight fruit develop firm dark lesion greasy texture,Neem oil
Late_blight,agronomist note sudden edge lesion look watersoaked,Neem oil
Leaf_Mold,notable underside develop fuzzy white olive mold visible plant growth slows noticeably,Sulfur spray
Leaf_Mold,farmer complains severe yellow patch appear upper leaf surface extensive lower leaf affected first extensive plant growth slows noticeably,Sulfur spray
Bacterial_spot,sudden warm weather accelerates disease spread moderate lower leaf drop early stress,Sulfur spray
Bacterial_spot,notable lesion become raised scabby fruit sporadic warm weather accelerates disease spread,Sulfur spray
Leaf_Mold,farmer report notable plant growth slows noticeably,Sulfur spray
Leaf_Mold,inspection reveals severe leaf develop musty odor clear lower leaf affected first rapid plant growth slows noticeably,Sulfur spray
Leaf_Mold,farmer complains sudden lesion merge large yellow area notable disease thrives high humidity poor airflow sudden fruit development may reduced,Sulfur spray
Late_blight,farmer complains moderate leaf become limp collapse suddenly sporadic edge lesion appear watersoaked greasy,Sulfur spray
Tomato_mosaic_virus,agronomist note notable symptom worsen high light condition,Biological predators
Leaf_Mold,farmer report notable underside develop fuzzy white olive mold extensive disease thrives high humidity poor airflow,Sulfur spray
healthy,field observation show clear fruit set appears normal healthy rapid fruit develop bright color firm wall clear unusual wilting curling leaf,No pesticide needed
Late_blight,farmer report extensive infected area emit musty odor extensive fruit develop firm dark lesion greasy texture sporadic whole plant may wilt overnight,Neem oil
Bacterial_spot,agronomist note visible spot sometimes merge larger dead area slight infected fruit show raised scabby lesion extensive leaf edge turn brown crack,Biological predators
Spider_mites_Two_spotted_spider_mite,agronomist note clear plant vigor decline noticeably severe infestation begin lower leaf severe webbing may visible leaf stem,Sulfur spray
healthy,farmer complains moderate stem remain firm robust,No pesticide needed
healthy,visual check indicates visible plant appear free pest disease,No pesticide needed
Late_blight,farmer complains severe edge lesion appear watersoaked greasy rapid blight odor noticeable severe infection,Sulfur spray
healthy,notable fruit set appears normal healthy moderate plant canopy full evenly spaced slight visible blemish leaf stem,No pesticide needed
Tomato_mosaic_virus,farmer complains sudden growth appears stunted twisted notable overall plant vigor decrease,Biological predators
healthy,visual check indicates rapid plant appear free pest disease severe leaf look lush green glossy surface slight stem remain firm robust,No pesticide needed
healthy,farmer complains severe surface remain free lesion mold,No pesticide needed
Late_blight,visual check indicates slight new leaf become infected almost overnight,Sulfur spray
Tomato_YellowLeaf_Curl_Virus,agronomist note severe fruit production decrease sharply sudden vein become thick prominent,Horticultural oil
healthy,field observation show moderate tuber development appears uniform healthy,No pesticide needed
healthy,agronomist note notable plant canopy full evenly spaced clear leaf look vibrant green smooth texture clear growth appears vigorous balanced,No pesticide needed
Tomato_mosaic_virus,farmer report extensive fruit develop uneven ripening,Biological predators
healthy,field observation show clear overall growth steady balanced,No pesticide needed
Spider_mites_Two_spotted_spider_mite,farmer report visible fruit development may stunted sporadic leaf surface feel dry rough extensive webbing may visible leaf stem,Sulfur spray
Early_blight,farmer complains severe older leaf show symptom first rapid overall growth appears stunted sporadic spot expand warm humid weather,Horticultural oil
Leaf_Mold,agronomist note slight lesion merge large yellow area visible edge leaf become brown dry moderate fruit development may reduced,Sulfur spray
Early_blight,visual check indicates moderate leaf drop prematurely stress clear dark concentric ring form lower leaf notable fruit develop sunken leathery patch,Horticultural oil
Tomato_mosaic_virus,agronomist note sudden overall plant vigor decrease severe symptom worsen high light condition,Biological predators
Tomato_mosaic_virus,visual check indicates rapid virus spread easily plant contact clear symptom worsen high light condition slight leaf display mottled light dark green patch,Biological predators
Early_blight,field observation show extensive dark spot sometimes appear stem severe foliage appears scorched curled clear leaf yellow around brown lesion,Neem oil
Tomato_YellowLeaf_Curl_Virus,clear flower often drop without fruit setting visible virus spread via whitefly rapidly visible growth becomes stunted bushy,Horticultural oil
Leaf_Mold,agronomist note extensive edge leaf become brown dry sporadic lesion merge large yellow area,Sulfur spray
Late_blight,farmer complains severe stem turn brown brittle extensive fruit develop firm dark lesion greasy texture sporadic leaf collapse suddenly without warning,Neem oil
Leaf_Mold,field observation show extensive leaf develop musty odor extensive disease thrives high humidity poor airflow,Sulfur spray
Tomato_YellowLeaf_Curl_Virus,severe flower often drop without fruit setting notable overall plant appears dwarfed,Horticultural oil
Tomato_YellowLeaf_Curl_Virus,visual check indicates sporadic leaf appear crumpled thickened sporadic young leaf curl upward turn yellow,Horticultural oil
Septoria_leaf_spot,field observation show rapid spot increase rapidly wet condition sporadic spot remain le ⅛ inch diameter,Neem oil
Spider_mites_Two_spotted_spider_mite,inspection reveals extensive plant vigor decline noticeably visible leaf appear stippled pale spot,Sulfur spray
Septoria_leaf_spot,field observation show rapid stem remain largely unaffected,Neem oil
Late_blight,field observation show visible infected area emit musty odor visible whole plant may wilt overnight sudden edge lesion look watersoaked,Neem oil
